size,clauses,red. ratio,time_lumping,memory (MB),formula
5,9,0.15625,0.0026369094848632812,0.02091503143310547,[(-x_1 v -x_2) ^ (x_3 v -x_0) ^ (x_0 v -x_2) ^ (x_0 v x_4 v x_2) ^ (-x_1 v -x_3 v -x_0) ^ (x_0 v -x_3) ^ (x_1 v x_2) ^ (x_3 v -x_2 v -x_0) ^ (-x_2 v -x_3)]
5,7,0.125,0.0022368431091308594,0.01892375946044922,[(x_0 v -x_2) ^ (x_3 v -x_2 v x_4) ^ (x_3 v x_1) ^ (-x_2 v -x_3 v x_4) ^ (x_3 v -x_1 v x_0) ^ (-x_1 v -x_2 v -x_0) ^ (-x_2 v -x_3)]
5,7,0.15625,0.0015714168548583984,0.02091503143310547,[(-x_1 v x_0) ^ (-x_1 v x_3 v x_2) ^ (x_0 v -x_1) ^ (-x_0 v -x_2 v x_4) ^ (-x_0 v -x_2 v -x_3) ^ (x_0 v x_4 v x_3) ^ (x_4 v x_2 v -x_0)]
5,11,0.21875,0.003389596939086914,0.02320384979248047,[(x_0 v -x_1 v x_3) ^ (x_1 v x_2 v -x_0) ^ (x_0 v x_4) ^ (x_0 v -x_1) ^ (x_3 v x_4 v -x_2) ^ (x_0 v -x_2 v -x_3) ^ (x_0 v x_1 v x_2) ^ (-x_2 v -x_3 v x_4) ^ (x_4 v -x_3) ^ (x_1 v x_4) ^ (x_0 v x_1 v x_4)]
5,6,0.125,0.0014967918395996094,0.01872539520263672,[(-x_1 v x_2 v -x_3) ^ (x_0 v x_4) ^ (x_0 v x_2 v x_3) ^ (-x_1 v x_2 v -x_0) ^ (x_4 v x_2 v -x_0) ^ (-x_2 v -x_3)]
5,6,0.125,0.001954793930053711,0.01899242401123047,[(x_0 v x_4) ^ (-x_1 v -x_2 v -x_3) ^ (x_3 v x_1 v x_4) ^ (-x_4 v -x_3) ^ (-x_4 v -x_3 v -x_0) ^ (x_0 v -x_1 v x_3)]
5,6,0.125,0.0018723011016845703,0.01872539520263672,[(x_0 v -x_2 v -x_3) ^ (-x_0 v -x_2 v -x_3) ^ (x_1 v -x_2 v -x_0) ^ (x_0 v -x_4) ^ (x_1 v x_4) ^ (-x_1 v x_4 v -x_0)]
5,6,0.125,0.0017867088317871094,0.01899242401123047,[(x_4 v x_2 v -x_3) ^ (x_2 v -x_0) ^ (-x_1 v x_2 v -x_3) ^ (x_0 v x_1 v -x_4) ^ (x_0 v x_2 v x_3) ^ (x_3 v -x_1 v -x_0)]
5,14,0.15625,0.0034661293029785156,0.020963668823242188,[(-x_0 v -x_3) ^ (x_3 v -x_0) ^ (-x_1 v -x_4 v -x_0) ^ (x_1 v -x_4 v -x_2) ^ (x_0 v -x_1 v x_2) ^ (-x_4 v -x_0) ^ (-x_1 v -x_2 v x_4) ^ (-x_1 v -x_4) ^ (-x_1 v x_4 v -x_3) ^ (-x_1 v x_4 v x_0) ^ (x_0 v x_1) ^ (-x_4 v x_2) ^ (x_3 v -x_4 v x_0) ^ (-x_1 v x_4 v -x_0)]
5,11,0.125,0.0021507740020751953,0.01858043670654297,[(-x_1 v -x_3) ^ (-x_1 v x_0) ^ (x_2 v -x_0) ^ (x_1 v -x_2) ^ (-x_1 v -x_4 v -x_2) ^ (-x_4 v -x_2 v -x_0) ^ (-x_1 v x_2) ^ (-x_0 v -x_2 v -x_3) ^ (x_0 v x_1) ^ (x_4) ^ (-x_1 v -x_2 v x_4)]
5,9,0.1875,0.0023810863494873047,0.02233409881591797,[(-x_1 v -x_4 v -x_0) ^ (x_1 v -x_2 v -x_3) ^ (x_0 v x_4 v x_2) ^ (x_0 v x_4) ^ (-x_0) ^ (x_0 v x_1 v x_2) ^ (-x_1 v x_2 v -x_0) ^ (x_4 v -x_3) ^ (x_1 v x_4)]
5,14,0.1875,0.0029163360595703125,0.021757125854492188,[(x_1 v -x_3 v -x_0) ^ (x_1 v x_2 v -x_0) ^ (x_3 v x_2 v -x_0) ^ (x_3 v x_1 v -x_4) ^ (x_0 v -x_4 v -x_2) ^ (x_1 v x_4 v -x_0) ^ (x_3 v x_0) ^ (x_1 v x_2) ^ (x_0 v x_4 v -x_2) ^ (x_1 v -x_2 v -x_0) ^ (-x_1 v -x_4 v -x_3) ^ (-x_4 v -x_3) ^ (x_0 v -x_1 v x_3) ^ (x_1 v x_4 v -x_3)]
5,9,0.125,0.002806425094604492,0.01835918426513672,[(-x_2 v x_4) ^ (x_1 v -x_2 v -x_3) ^ (-x_4 v x_2 v -x_0) ^ (x_0 v x_1 v -x_4) ^ (-x_1 v -x_4 v -x_2) ^ (x_4 v x_2 v -x_0) ^ (-x_4 v -x_3) ^ (x_0 v x_1 v x_4) ^ (-x_1 v x_4 v -x_0)]
5,10,0.15625,0.002389669418334961,0.02044963836669922,[(x_3 v -x_0) ^ (-x_1 v x_0) ^ (x_1 v -x_2) ^ (-x_4 v x_2 v -x_0) ^ (x_3 v x_2) ^ (-x_1 v x_4 v x_2) ^ (x_1 v -x_4 v x_2) ^ (-x_2 v -x_3) ^ (x_0 v -x_4 v -x_3) ^ (x_0 v -x_2 v x_3)]
5,10,0.15625,0.002283334732055664,0.02091503143310547,[(x_2 v -x_3) ^ (-x_4 v x_2 v -x_0) ^ (x_3 v -x_1 v x_4) ^ (-x_2 v -x_3 v -x_0) ^ (-x_3 v -x_0) ^ (x_1 v -x_2 v -x_0) ^ (x_4 v -x_3) ^ (-x_4 v x_2) ^ (x_0 v -x_1 v -x_4) ^ (x_0 v x_1 v x_4)]
5,15,0.1875,0.0046770572662353516,0.021673202514648438,[(-x_4 v x_2) ^ (-x_0 v -x_3) ^ (x_1 v x_2 v -x_0) ^ (x_0 v -x_2) ^ (x_3 v -x_2 v x_0) ^ (x_0 v -x_4 v -x_2) ^ (-x_4 v -x_2) ^ (x_3 v x_1) ^ (x_3 v x_0) ^ (-x_3 v -x_0) ^ (-x_1 v x_2 v -x_0) ^ (x_4 v x_2 v -x_0) ^ (x_0 v -x_4 v x_2) ^ (x_3 v -x_2 v -x_0) ^ (x_4 v -x_3)]
5,8,0.125,0.0027370452880859375,0.01919078826904297,[(x_0 v x_4 v -x_3) ^ (-x_1 v -x_2 v -x_3) ^ (-x_4 v -x_2 v -x_0) ^ (x_1 v -x_4) ^ (x_3 v x_2) ^ (x_0 v x_2) ^ (-x_2 v -x_3) ^ (x_1 v x_4)]
5,7,0.15625,0.0023698806762695312,0.02067089080810547,[(x_1 v x_4 v x_2) ^ (x_1 v x_2 v -x_0) ^ (x_3 v x_4 v -x_2) ^ (x_1 v x_2 v -x_3) ^ (x_0 v x_1) ^ (x_0 v x_1 v -x_2) ^ (x_0 v x_1 v x_4)]
5,13,0.1875,0.002972841262817383,0.022794723510742188,[(x_0 v -x_1) ^ (x_1 v -x_3) ^ (-x_1 v -x_4 v -x_2) ^ (-x_4 v -x_2 v -x_0) ^ (x_1 v -x_4) ^ (x_3 v x_2) ^ (-x_1 v x_2) ^ (x_3 v -x_4 v -x_0) ^ (-x_1 v x_2 v -x_0) ^ (x_0 v -x_4) ^ (x_3 v x_1 v -x_0) ^ (-x_3 v -x_0) ^ (-x_4 v -x_3)]
5,14,0.1875,0.003703594207763672,0.022527694702148438,[(x_1 v -x_4 v -x_0) ^ (x_4 v x_2 v -x_3) ^ (-x_1 v x_3 v -x_0) ^ (-x_1 v -x_3 v -x_0) ^ (-x_1 v -x_4 v -x_2) ^ (x_3 v -x_1 v -x_0) ^ (-x_4 v -x_2) ^ (x_3 v x_1 v -x_4) ^ (x_1 v -x_4) ^ (-x_1 v x_2 v -x_0) ^ (-x_1 v -x_4 v -x_3) ^ (x_1 v -x_0) ^ (-x_1 v x_0 v -x_3) ^ (x_4 v -x_3)]
5,9,0.15625,0.0020303726196289062,0.02142620086669922,[(-x_4 v x_2) ^ (-x_4 v -x_0) ^ (-x_1 v x_2 v x_0) ^ (x_0 v -x_3) ^ (-x_0 v -x_2 v x_4) ^ (x_3 v x_1) ^ (x_1 v -x_2 v -x_0) ^ (x_3 v x_1 v x_2) ^ (-x_2 v -x_3)]
5,7,0.15625,0.0015828609466552734,0.02030467987060547,[(-x_1 v x_0) ^ (x_2 v -x_0) ^ (x_3 v -x_1 v x_2) ^ (x_0 v x_4 v x_2) ^ (-x_4 v -x_2 v -x_0) ^ (-x_1 v x_4 v x_2) ^ (x_0 v x_1 v -x_3)]
5,11,0.1875,0.002921581268310547,0.02162456512451172,[(x_1 v -x_4 v -x_0) ^ (x_1 v -x_4 v -x_2) ^ (x_1) ^ (x_0 v -x_4 v -x_2) ^ (-x_1 v -x_2 v -x_3) ^ (x_1 v x_2) ^ (-x_1 v x_4 v x_0) ^ (x_1 v x_2 v -x_3) ^ (x_1 v -x_4 v x_2) ^ (x_0 v -x_4 v x_2) ^ (x_3 v x_4 v -x_0)]
5,8,0.15625,0.002117156982421875,0.02152538299560547,[(-x_4 v -x_0) ^ (x_0 v -x_3) ^ (-x_1 v x_4 v -x_3) ^ (x_0 v x_2 v -x_3) ^ (x_0 v x_1) ^ (-x_1 v -x_0) ^ (-x_4 v x_2) ^ (x_3 v x_2 v x_0)]
5,15,0.15625,0.0033974647521972656,0.020841598510742188,[(-x_2 v x_4) ^ (x_2 v -x_0) ^ (x_1) ^ (x_3 v -x_1 v x_4) ^ (-x_1 v -x_4 v -x_2) ^ (-x_4 v -x_2) ^ (x_1 v x_4 v -x_0) ^ (x_3 v x_1 v x_0) ^ (-x_1 v x_4 v -x_3) ^ (-x_4 v x_2 v -x_3) ^ (x_0 v x_1 v x_2) ^ (-x_2 v -x_3 v x_4) ^ (x_0 v x_4 v x_3) ^ (-x_4 v x_2) ^ (x_0 v x_1 v x_4)]
5,13,0.1875,0.0034351348876953125,0.022039413452148438,[(x_4 v x_2 v -x_3) ^ (-x_2 v x_4) ^ (x_2 v -x_3) ^ (x_0 v x_4 v -x_3) ^ (x_0 v -x_1 v -x_2) ^ (x_0 v -x_4 v -x_3) ^ (-x_1 v -x_4 v -x_3) ^ (-x_1 v -x_2 v -x_0) ^ (x_0 v -x_4 v x_2) ^ (x_3 v -x_2 v -x_0) ^ (x_3 v x_4) ^ (x_1 v x_4) ^ (-x_1 v x_4 v x_3)]
5,14,0.1875,0.003751993179321289,0.022184371948242188,[(-x_2 v -x_0) ^ (x_3 v x_4 v -x_0) ^ (x_0) ^ (x_1 v -x_2 v -x_3) ^ (-x_4 v -x_2) ^ (x_0 v x_2) ^ (-x_1 v -x_4 v x_2) ^ (x_0 v x_2 v -x_3) ^ (x_4) ^ (x_1 v -x_4 v x_2) ^ (x_0 v -x_4 v x_2) ^ (-x_4 v x_2) ^ (x_1 v x_4) ^ (x_0 v x_1 v -x_2)]
5,14,0.1875,0.003124237060546875,0.022161483764648438,[(x_1 v -x_4 v -x_0) ^ (x_1 v x_4 v x_2) ^ (x_2 v -x_3) ^ (x_0 v -x_2 v x_4) ^ (x_3 v -x_4 v -x_0) ^ (x_4 v -x_0) ^ (x_1 v x_2) ^ (-x_1 v x_4 v x_2) ^ (x_1 v -x_4 v x_2) ^ (x_1 v -x_2 v x_4) ^ (-x_4 v x_2) ^ (-x_1 v -x_2 v -x_0) ^ (x_0 v -x_2 v x_3) ^ (x_3 v -x_4 v -x_2)]
5,10,0.15625,0.0021152496337890625,0.02064800262451172,[(x_3 v x_4 v x_2) ^ (x_1 v x_4 v x_2) ^ (-x_1 v x_3 v -x_0) ^ (-x_1 v -x_2) ^ (x_0 v x_4) ^ (-x_1 v x_2 v x_0) ^ (-x_1 v -x_2 v -x_0) ^ (-x_1 v -x_2 v x_3) ^ (x_4 v x_2) ^ (-x_0 v -x_4 v -x_3)]
5,14,0.15625,0.0053713321685791016,0.021574020385742188,[(x_3 v x_4 v x_2) ^ (-x_1 v -x_2) ^ (-x_1 v -x_4 v -x_0) ^ (x_0 v -x_3) ^ (-x_1 v x_2) ^ (x_3 v -x_2 v -x_0) ^ (x_1 v x_2 v -x_3) ^ (x_3 v x_1 v x_2) ^ (x_0 v x_1) ^ (x_0 v x_2 v -x_3) ^ (x_3 v x_1 v x_4) ^ (x_3 v x_1 v -x_0) ^ (x_0 v -x_1 v -x_4) ^ (x_3 v -x_1 v -x_4)]
5,9,0.15625,0.0022208690643310547,0.02128124237060547,[(x_1 v -x_2) ^ (x_3 v x_1 v -x_2) ^ (x_0 v -x_3) ^ (-x_4 v x_2 v -x_3) ^ (x_1 v -x_4 v x_2) ^ (x_1 v x_2 v -x_3) ^ (x_4 v x_2) ^ (-x_2 v -x_3) ^ (x_3 v x_4 v -x_0)]
5,5,0.125,0.0021681785583496094,0.01872539520263672,[(x_3 v -x_1 v x_2) ^ (x_0 v x_4 v -x_3) ^ (-x_1 v -x_2 v -x_3) ^ (-x_1 v x_2 v -x_0) ^ (x_4 v -x_3)]
5,12,0.1875,0.0036003589630126953,0.02196788787841797,[(-x_1 v -x_3) ^ (x_1 v -x_4 v -x_0) ^ (x_3 v -x_2) ^ (x_1 v -x_3 v -x_0) ^ (-x_4 v x_2 v -x_0) ^ (x_3 v -x_2 v x_4) ^ (x_1 v -x_4) ^ (-x_0 v -x_2 v x_4) ^ (x_1 v x_2) ^ (-x_3 v -x_0) ^ (-x_1 v -x_2 v -x_0) ^ (x_1 v x_4 v -x_3)]
5,8,0.125,0.0026586055755615234,0.01870250701904297,[(-x_1 v x_2 v -x_3) ^ (x_1) ^ (x_0 v -x_3) ^ (x_3 v x_4 v -x_2) ^ (x_3 v -x_4 v -x_0) ^ (x_1 v -x_0) ^ (x_4 v x_2) ^ (-x_1 v x_4 v x_3)]
5,14,0.1875,0.003057718276977539,0.022176742553710938,[(x_3 v -x_0) ^ (x_1 v -x_4 v -x_2) ^ (-x_1 v x_2 v -x_3) ^ (x_1 v -x_3) ^ (x_0 v x_1 v -x_4) ^ (-x_1 v x_0 v -x_3) ^ (x_0 v -x_1 v -x_2) ^ (x_0 v x_1 v x_2) ^ (-x_1 v x_2 v x_3) ^ (x_1 v -x_0) ^ (x_0 v -x_4 v x_2) ^ (x_3 v x_1 v x_2) ^ (-x_4 v -x_3) ^ (x_1 v x_4 v -x_3)]
5,9,0.15625,0.0023179054260253906,0.02140331268310547,[(x_0 v x_1 v -x_4) ^ (-x_4 v -x_0) ^ (x_3 v -x_4 v x_2) ^ (x_3 v x_4 v -x_2) ^ (x_0 v -x_3) ^ (-x_1 v x_4 v x_0) ^ (-x_1 v -x_4 v -x_3) ^ (-x_4 v -x_3) ^ (-x_2 v -x_3)]
5,14,0.1875,0.0030739307403564453,0.022184371948242188,[(-x_1 v -x_3) ^ (x_3 v -x_2) ^ (x_3 v -x_0) ^ (x_3 v x_1 v -x_2) ^ (x_0 v -x_1 v x_4) ^ (x_3 v -x_4) ^ (x_3 v x_1) ^ (x_0 v x_2 v -x_3) ^ (x_0 v -x_4 v -x_3) ^ (-x_4 v -x_3) ^ (x_4 v x_2) ^ (x_1 v x_4) ^ (x_3 v x_4 v -x_0) ^ (x_1 v x_4 v -x_3)]
5,6,0.125,0.0018703937530517578,0.01809215545654297,[(-x_1 v x_3 v -x_0) ^ (-x_2 v -x_0) ^ (x_0 v x_4 v x_2) ^ (x_0 v -x_4 v x_2) ^ (-x_4 v x_2) ^ (x_3 v -x_1 v -x_4)]
5,6,0.125,0.0020079612731933594,0.01870250701904297,[(x_1 v x_4 v x_2) ^ (x_3 v -x_4 v x_2) ^ (x_0 v x_2 v -x_3) ^ (-x_4 v -x_2 v -x_3) ^ (-x_4 v x_2) ^ (x_0 v -x_1 v -x_4)]
5,10,0.125,0.0024895668029785156,0.01919078826904297,[(-x_2 v -x_0) ^ (-x_1 v x_4 v -x_2) ^ (x_0 v x_4) ^ (-x_1 v -x_4 v -x_2) ^ (x_0 v -x_4) ^ (x_3 v x_1 v x_0) ^ (-x_2 v -x_3 v x_4) ^ (x_0 v -x_4 v -x_3) ^ (x_3 v x_1 v -x_0) ^ (x_0 v x_3)]
6,15,0.09375,0.005609989166259766,0.027074813842773438,[(x_0 v -x_5 v -x_3) ^ (x_1 v -x_2 v -x_3) ^ (-x_1 v x_4 v x_5) ^ (-x_4 v -x_2) ^ (x_5 v x_2 v -x_0) ^ (-x_2 v -x_3 v -x_0) ^ (x_1 v -x_4 v x_2) ^ (-x_5 v -x_2 v -x_3) ^ (-x_1 v -x_4 v -x_3) ^ (x_5 v -x_3) ^ (x_3 v -x_1 v -x_5) ^ (x_3 v x_1 v -x_0) ^ (x_4 v x_2) ^ (x_2 v x_5 v -x_0) ^ (-x_2 v x_5 v -x_3)]
6,11,0.078125,0.004797697067260742,0.024312973022460938,[(x_1 v x_4 v x_2) ^ (x_1 v -x_4 v -x_2) ^ (-x_4 v x_2 v -x_0) ^ (x_1 v -x_3) ^ (x_0 v x_5) ^ (x_1 v x_4 v -x_5) ^ (x_3 v -x_4) ^ (-x_1 v x_2 v -x_0) ^ (x_4 v x_5) ^ (x_1 v -x_2 v x_4) ^ (x_0 v -x_1 v -x_5)]
6,10,0.078125,0.004435539245605469,0.024923324584960938,[(x_5 v -x_4 v x_2) ^ (x_0 v x_5) ^ (x_3 v -x_1 v x_5) ^ (x_3 v x_0) ^ (-x_4 v x_2 v -x_3) ^ (x_1 v x_2 v -x_3) ^ (x_1 v -x_2 v x_4) ^ (x_1 v x_4 v x_5) ^ (-x_1 v -x_5 v x_3) ^ (-x_5 v x_2 v -x_0)]
6,15,0.125,0.00848245620727539,0.028203964233398438,[(x_3 v x_2 v x_5) ^ (x_3 v x_5) ^ (-x_1 v x_5) ^ (-x_2 v -x_5 v -x_3) ^ (x_1 v -x_2) ^ (x_0 v -x_5 v -x_3) ^ (x_0 v x_5) ^ (x_0 v -x_1) ^ (x_1 v -x_5 v x_2) ^ (x_3 v -x_4 v -x_5) ^ (-x_0 v -x_2 v x_4) ^ (x_3 v x_2) ^ (x_3 v -x_4 v -x_0) ^ (x_0 v -x_4 v x_5) ^ (x_1 v x_5 v -x_3)]
6,9,0.078125,0.0046253204345703125,0.024923324584960938,[(x_3 v x_2 v -x_0) ^ (x_4 v -x_0) ^ (x_1 v -x_4 v -x_3) ^ (-x_1 v x_4 v x_2) ^ (x_0 v x_2 v -x_3) ^ (x_0 v x_1 v -x_2) ^ (x_0 v -x_4 v -x_3) ^ (x_5 v x_2 v -x_3) ^ (-x_1 v x_5 v x_3)]
6,8,0.0625,0.004002571105957031,0.022100448608398438,[(x_3 v -x_5 v -x_0) ^ (x_2 v -x_3) ^ (x_5 v -x_4 v x_2) ^ (x_1 v -x_5 v -x_3) ^ (x_5 v x_1 v x_2) ^ (-x_4 v -x_2 v -x_3) ^ (-x_5 v -x_3 v x_4) ^ (x_0 v -x_1 v x_3)]
6,13,0.09375,0.005635976791381836,0.027585983276367188,[(x_3 v x_2 v x_5) ^ (-x_5 v x_4) ^ (-x_4 v -x_5) ^ (x_0 v -x_4 v -x_2) ^ (-x_4 v -x_2 v -x_3) ^ (-x_5 v x_2 v -x_3) ^ (-x_1 v -x_5 v x_2) ^ (x_0 v x_5 v -x_3) ^ (x_0 v -x_4 v x_5) ^ (x_0 v x_4 v x_3) ^ (x_1 v -x_0) ^ (x_1 v x_5 v -x_3) ^ (x_3 v x_1 v x_2)]
6,15,0.109375,0.005641460418701172,0.026624679565429688,[(x_1 v -x_4 v -x_0) ^ (x_3 v x_4 v x_2) ^ (x_1 v -x_3 v -x_0) ^ (x_0 v x_4 v x_2) ^ (-x_4 v x_2 v -x_0) ^ (x_0 v -x_1 v x_5) ^ (-x_1 v -x_5 v x_4) ^ (x_2 v x_5 v -x_3) ^ (-x_1 v x_2) ^ (-x_1 v x_2 v x_3) ^ (-x_5 v -x_3) ^ (x_3 v x_1 v -x_0) ^ (-x_4 v x_2) ^ (-x_2 v -x_3) ^ (x_1 v -x_4 v -x_5)]
6,8,0.0625,0.0030951499938964844,0.024053573608398438,[(x_2 v -x_3) ^ (x_1 v -x_2 v -x_3) ^ (-x_1 v x_4 v x_5) ^ (x_1 v -x_4 v x_5) ^ (-x_4 v -x_5 v x_2) ^ (x_1 v -x_5) ^ (-x_1 v x_3 v x_0) ^ (x_0 v -x_1 v x_3)]
6,12,0.078125,0.006171464920043945,0.024946212768554688,[(x_1 v x_2 v -x_0) ^ (x_2 v -x_3) ^ (-x_1 v -x_5) ^ (x_3 v -x_4 v -x_0) ^ (-x_1 v -x_4 v x_5) ^ (x_0 v -x_5 v x_4) ^ (-x_2 v -x_3 v x_4) ^ (x_4 v x_5) ^ (-x_4 v x_5 v -x_3) ^ (x_0 v x_3) ^ (-x_4 v -x_3) ^ (-x_4 v -x_5 v -x_3)]
6,14,0.078125,0.0054743289947509766,0.024946212768554688,[(x_4 v x_2 v -x_3) ^ (x_0 v -x_4 v x_3) ^ (x_0 v -x_5 v -x_2) ^ (-x_4 v -x_0) ^ (-x_5 v x_2 v x_4) ^ (x_3 v -x_4 v -x_5) ^ (-x_1 v -x_2 v x_5) ^ (x_3 v -x_5) ^ (-x_1 v x_4 v x_2) ^ (x_0 v -x_5 v x_2) ^ (x_4 v x_5) ^ (-x_4 v -x_2 v -x_3) ^ (-x_0 v -x_2 v -x_3) ^ (x_1 v x_5 v -x_3)]
6,9,0.078125,0.0037543773651123047,0.024923324584960938,[(x_1 v -x_4 v -x_0) ^ (x_0 v x_5 v x_3) ^ (x_1 v -x_2) ^ (x_1 v -x_3 v -x_0) ^ (-x_1 v x_2 v -x_3) ^ (x_3 v -x_5 v -x_2) ^ (-x_4 v x_2 v -x_3) ^ (x_5 v -x_3) ^ (x_3 v x_1 v -x_0)]
6,16,0.109375,0.005956172943115234,0.028253555297851562,[(x_4 v x_2 v -x_3) ^ (x_1 v x_4 v x_2) ^ (x_3 v -x_1) ^ (x_3 v x_1 v -x_2) ^ (x_4 v x_5 v -x_3) ^ (-x_4 v -x_5) ^ (x_0 v x_1 v -x_5) ^ (x_0 v x_4 v x_2) ^ (x_1 v -x_5 v -x_3) ^ (-x_2) ^ (x_3 v -x_4 v -x_5) ^ (x_1 v -x_4 v -x_3) ^ (x_3 v x_1 v x_5) ^ (x_4 v x_5) ^ (x_0 v -x_1 v -x_4) ^ (-x_1 v -x_5 v x_3)]
6,11,0.078125,0.004051685333251953,0.024923324584960938,[(x_3 v x_4 v -x_0) ^ (x_3 v -x_2 v x_4) ^ (x_4 v x_5 v -x_3) ^ (x_0 v -x_2 v x_5) ^ (-x_0 v x_2 v -x_3) ^ (-x_0 v -x_2 v x_4) ^ (-x_1 v -x_5 v x_2) ^ (-x_1 v -x_2 v -x_0) ^ (x_3 v -x_4 v x_5) ^ (-x_4 v -x_3 v -x_0) ^ (x_0 v x_1 v -x_2)]
6,10,0.09375,0.004253864288330078,0.026403427124023438,[(x_0 v x_4 v x_5) ^ (x_1 v -x_3 v -x_0) ^ (x_4 v x_5 v -x_3) ^ (x_5 v x_2 v -x_3) ^ (x_3 v x_2) ^ (x_0 v -x_5 v x_4) ^ (x_1 v x_4 v x_5) ^ (-x_1 v -x_2 v -x_0) ^ (x_0 v x_1 v x_4) ^ (-x_1 v x_4 v -x_0)]
6,7,0.0625,0.004339694976806641,0.022100448608398438,[(-x_5 v x_2) ^ (x_1 v -x_4 v x_5) ^ (-x_2 v -x_3 v x_4) ^ (x_5 v -x_3) ^ (x_3 v -x_2 v -x_0) ^ (-x_4 v -x_5 v -x_3) ^ (x_0 v x_1 v -x_3)]
