size,edges,red. ratio,time_lumping,memory (MB),graph
15,33,0.000823974609375,0.7335844039916992,4.611328125,"(Vertices: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]) -- (Edges: [(12, 4), (3, 4), (4, 12), (8, 9), (8, 6), (8, 12), (11, 14), (1, 3), (1, 12), (6, 14), (14, 6), (4, 5), (12, 6), (5, 6), (3, 12), (8, 11), (13, 7), (10, 14), (11, 13), (8, 4), (9, 3), (8, 1), (8, 7), (10, 4), (0, 9), (10, 7), (8, 10), (0, 6), (11, 12), (1, 7), (2, 12), (1, 10), (13, 6)])"
5,2,0.09375,0.0011627674102783203,0.01742839813232422,"(Vertices: [0, 1, 2, 3, 4]) -- (Edges: [(0, 1), (0, 4)])"
6,5,0.09375,0.0013477802276611328,0.01605987548828125,"(Vertices: [0, 1, 2, 3, 4, 5]) -- (Edges: [(0, 1), (2, 4), (3, 4), (1, 5), (0, 3)])"
7,5,0.046875,0.0029077529907226562,0.02152252197265625,"(Vertices: [0, 1, 2, 3, 4, 5, 6]) -- (Edges: [(0, 1), (1, 2), (0, 4), (1, 5), (0, 6)])"
8,10,0.0390625,0.004347324371337891,0.037590980529785156,"(Vertices: [0, 1, 2, 3, 4, 5, 6, 7]) -- (Edges: [(0, 7), (0, 4), (1, 5), (3, 7), (6, 7), (0, 2), (5, 6), (0, 5), (1, 6), (1, 3)])"
9,11,0.021484375,0.012294292449951172,0.08371162414550781,"(Vertices: [0, 1, 2, 3, 4, 5, 6, 7, 8]) -- (Edges: [(0, 7), (1, 2), (2, 7), (0, 3), (4, 6), (0, 6), (1, 7), (8, 3), (0, 5), (1, 3), (8, 5)])"
10,13,0.009765625,0.02601337432861328,0.14316940307617188,"(Vertices: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]) -- (Edges: [(2, 4), (0, 4), (8, 7), (3, 7), (0, 3), (9, 2), (8, 0), (0, 2), (4, 5), (8, 9), (0, 8), (9, 7), (3, 5)])"
11,20,0.00732421875,0.04697394371032715,0.33771514892578125,"(Vertices: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]) -- (Edges: [(3, 4), (3, 7), (10, 6), (0, 5), (2, 5), (1, 9), (3, 6), (9, 1), (8, 5), (10, 2), (9, 10), (2, 4), (1, 2), (2, 10), (3, 5), (8, 4), (10, 4), (8, 10), (10, 7), (0, 6)])"
12,24,0.004150390625,0.0880119800567627,0.6284255981445312,"(Vertices: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]) -- (Edges: [(4, 6), (5, 7), (8, 0), (8, 3), (11, 5), (1, 6), (0, 8), (9, 11), (1, 3), (8, 5), (8, 11), (9, 4), (0, 1), (0, 7), (10, 5), (11, 7), (0, 4), (10, 2), (2, 7), (2, 10), (4, 7), (3, 5), (0, 9), (10, 7)])"
13,24,0.00244140625,0.15698885917663574,1.3064117431640625,"(Vertices: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]) -- (Edges: [(4, 6), (8, 0), (8, 9), (10, 3), (8, 12), (0, 8), (8, 11), (9, 4), (0, 7), (11, 7), (0, 4), (0, 10), (2, 7), (6, 7), (3, 5), (3, 11), (8, 1), (11, 3), (8, 10), (9, 12), (0, 12), (2, 3), (1, 7), (1, 10)])"
14,32,0.00146484375,0.328291654586792,2.5086441040039062,"(Vertices: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]) -- (Edges: [(5, 7), (10, 6), (11, 5), (8, 6), (10, 12), (0, 11), (4, 5), (12, 6), (9, 7), (11, 4), (10, 2), (0, 7), (2, 4), (1, 2), (0, 4), (0, 10), (13, 7), (0, 13), (2, 10), (11, 13), (6, 7), (8, 4), (4, 13), (8, 7), (10, 4), (0, 9), (0, 6), (8, 13), (11, 12), (2, 6), (2, 12), (13, 6)])"
15,34,0.000762939453125,0.685436487197876,4.354698181152344,"(Vertices: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]) -- (Edges: [(12, 13), (3, 13), (0, 2), (9, 5), (0, 5), (8, 12), (9, 14), (9, 11), (2, 5), (11, 14), (1, 9), (0, 11), (2, 14), (1, 12), (12, 6), (8, 2), (9, 1), (8, 11), (10, 2), (9, 10), (8, 14), (10, 11), (1, 5), (0, 13), (2, 10), (1, 14), (3, 14), (4, 13), (5, 14), (9, 6), (0, 6), (0, 12), (11, 6), (1, 13)])"
5,3,0.125,0.001018524169921875,0.01832103729248047,"(Vertices: [0, 1, 2, 3, 4]) -- (Edges: [(0, 2), (1, 2), (1, 3)])"
6,3,0.03125,0.0013055801391601562,0.00988006591796875,"(Vertices: [0, 1, 2, 3, 4, 5]) -- (Edges: [(0, 1), (0, 4), (1, 4)])"
7,11,0.078125,0.002271413803100586,0.02597808837890625,"(Vertices: [0, 1, 2, 3, 4, 5, 6]) -- (Edges: [(0, 1), (1, 5), (4, 6), (1, 4), (0, 6), (2, 3), (0, 2), (3, 6), (2, 5), (1, 3), (3, 5)])"
8,9,0.03125,0.004767179489135742,0.033020973205566406,"(Vertices: [0, 1, 2, 3, 4, 5, 6, 7]) -- (Edges: [(2, 4), (1, 5), (4, 6), (1, 4), (4, 5), (5, 6), (0, 5), (3, 6), (3, 5)])"
9,10,0.01953125,0.008869409561157227,0.08188056945800781,"(Vertices: [0, 1, 2, 3, 4, 5, 6, 7, 8]) -- (Edges: [(0, 1), (0, 7), (4, 6), (1, 4), (0, 6), (0, 2), (0, 5), (3, 6), (1, 6), (3, 5)])"
10,14,0.01171875,0.019309282302856445,0.15296554565429688,"(Vertices: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]) -- (Edges: [(2, 4), (1, 2), (8, 7), (9, 6), (1, 4), (0, 6), (2, 3), (9, 5), (0, 2), (8, 3), (5, 7), (8, 6), (1, 3), (3, 5)])"
11,14,0.005859375,0.046802520751953125,0.34297943115234375,"(Vertices: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]) -- (Edges: [(3, 4), (1, 5), (0, 3), (4, 6), (5, 7), (8, 0), (6, 7), (8, 9), (1, 6), (0, 8), (2, 5), (1, 3), (3, 5), (9, 4)])"
12,22,0.004638671875,0.07879304885864258,0.6461334228515625,"(Vertices: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]) -- (Edges: [(3, 4), (3, 7), (8, 9), (10, 6), (0, 5), (9, 11), (1, 3), (1, 9), (5, 6), (8, 2), (9, 1), (8, 5), (0, 7), (2, 4), (11, 7), (10, 11), (0, 10), (6, 7), (8, 1), (0, 9), (1, 7), (1, 10)])"
13,26,0.002685546875,0.1751554012298584,1.3209762573242188,"(Vertices: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]) -- (Edges: [(3, 4), (9, 2), (8, 9), (10, 3), (1, 6), (2, 11), (1, 9), (0, 11), (5, 6), (3, 6), (3, 12), (9, 1), (9, 10), (11, 7), (10, 5), (10, 11), (0, 4), (2, 7), (8, 4), (8, 7), (0, 3), (9, 12), (11, 6), (2, 3), (11, 12), (1, 10)])"
14,37,0.0015869140625,0.34104394912719727,2.4824905395507812,"(Vertices: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]) -- (Edges: [(3, 4), (3, 7), (8, 0), (9, 5), (8, 3), (0, 5), (9, 11), (0, 8), (2, 5), (2, 11), (1, 9), (0, 11), (1, 12), (4, 5), (9, 1), (11, 4), (8, 5), (8, 11), (9, 10), (2, 4), (1, 2), (10, 11), (0, 10), (13, 7), (11, 13), (12, 5), (4, 7), (4, 13), (9, 3), (9, 6), (0, 9), (10, 7), (8, 10), (11, 6), (10, 13), (11, 12), (13, 6)])"
15,35,0.00079345703125,0.6946871280670166,4.396232604980469,"(Vertices: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]) -- (Edges: [(12, 4), (14, 7), (4, 12), (5, 13), (9, 5), (0, 2), (0, 5), (9, 11), (0, 14), (1, 3), (1, 9), (13, 5), (13, 14), (4, 14), (8, 2), (9, 1), (8, 11), (9, 13), (0, 10), (1, 11), (1, 14), (2, 13), (6, 7), (3, 14), (8, 4), (5, 14), (10, 4), (8, 10), (1, 4), (11, 6), (10, 13), (11, 12), (1, 7), (2, 12), (1, 10)])"
5,3,0.125,0.0007829666137695312,0.01832103729248047,"(Vertices: [0, 1, 2, 3, 4]) -- (Edges: [(2, 3), (2, 4), (1, 2)])"
6,2,0.046875,0.001331329345703125,0.0100555419921875,"(Vertices: [0, 1, 2, 3, 4, 5]) -- (Edges: [(2, 3), (3, 5)])"
7,7,0.0546875,0.002280712127685547,0.023590087890625,"(Vertices: [0, 1, 2, 3, 4, 5, 6]) -- (Edges: [(2, 4), (3, 4), (0, 2), (5, 6), (3, 6), (1, 6), (2, 5)])"
8,4,0.01953125,0.004198312759399414,0.034180641174316406,"(Vertices: [0, 1, 2, 3, 4, 5, 6, 7]) -- (Edges: [(2, 3), (6, 7), (4, 5), (0, 3)])"
9,17,0.025390625,0.008748292922973633,0.08845710754394531,"(Vertices: [0, 1, 2, 3, 4, 5, 6, 7, 8]) -- (Edges: [(0, 1), (3, 4), (2, 7), (1, 4), (0, 6), (2, 3), (8, 5), (1, 7), (8, 3), (5, 7), (8, 0), (0, 5), (3, 6), (8, 6), (0, 8), (4, 7), (3, 5)])"
10,15,0.0126953125,0.019632339477539062,0.15562057495117188,"(Vertices: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]) -- (Edges: [(0, 4), (8, 4), (2, 7), (1, 5), (8, 1), (9, 3), (8, 7), (0, 3), (4, 6), (2, 3), (8, 9), (3, 6), (1, 6), (4, 7), (3, 5)])"
11,24,0.00830078125,0.04534602165222168,0.36693572998046875,"(Vertices: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]) -- (Edges: [(9, 2), (5, 7), (8, 0), (0, 2), (8, 3), (8, 6), (1, 6), (0, 8), (2, 5), (1, 3), (1, 9), (4, 5), (5, 6), (3, 6), (9, 1), (8, 5), (9, 4), (1, 2), (4, 7), (3, 5), (8, 4), (8, 7), (10, 4), (10, 7)])"
12,29,0.00537109375,0.21633195877075195,0.6453018188476562,"(Vertices: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]) -- (Edges: [(3, 4), (4, 6), (9, 2), (5, 7), (9, 5), (0, 2), (8, 9), (0, 5), (4, 5), (5, 6), (9, 7), (11, 4), (10, 2), (9, 4), (0, 1), (0, 7), (10, 5), (0, 4), (0, 10), (2, 7), (2, 10), (6, 7), (3, 5), (10, 4), (9, 6), (0, 9), (8, 10), (0, 6), (2, 3)])"
13,21,0.0023193359375,0.3127174377441406,1.3736495971679688,"(Vertices: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]) -- (Edges: [(3, 7), (9, 2), (9, 5), (1, 6), (2, 5), (5, 6), (11, 4), (11, 7), (2, 4), (1, 2), (0, 4), (1, 11), (6, 7), (4, 7), (8, 1), (0, 3), (0, 6), (0, 12), (11, 12), (1, 7), (2, 6)])"
14,44,0.00177001953125,0.45981335639953613,2.5396347045898438,"(Vertices: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]) -- (Edges: [(3, 4), (9, 2), (5, 7), (8, 0), (5, 13), (3, 13), (0, 2), (11, 5), (8, 12), (1, 6), (0, 8), (9, 11), (1, 3), (13, 5), (12, 6), (3, 6), (8, 2), (9, 7), (8, 5), (9, 4), (9, 10), (0, 7), (2, 4), (1, 2), (0, 10), (2, 7), (13, 7), (2, 13), (6, 7), (3, 5), (8, 4), (4, 13), (8, 1), (9, 6), (9, 12), (10, 13), (11, 6), (2, 3), (8, 13), (1, 7), (1, 13), (2, 6), (11, 12), (1, 10)])"
15,36,0.00079345703125,0.7958612442016602,4.372917175292969,"(Vertices: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]) -- (Edges: [(12, 7), (3, 7), (8, 0), (0, 5), (10, 3), (11, 5), (1, 6), (0, 8), (2, 5), (9, 14), (1, 9), (11, 14), (2, 14), (5, 6), (9, 1), (8, 11), (9, 10), (10, 11), (1, 5), (13, 7), (11, 13), (6, 7), (4, 7), (3, 5), (3, 11), (12, 14), (8, 4), (4, 13), (8, 1), (8, 7), (10, 4), (9, 6), (11, 3), (0, 6), (2, 3), (11, 12)])"
5,4,0.15625,0.004247426986694336,0.02087688446044922,"(Vertices: [0, 1, 2, 3, 4]) -- (Edges: [(0, 1), (2, 3), (1, 2), (0, 4)])"
6,3,0.0625,0.00434112548828125,0.0133514404296875,"(Vertices: [0, 1, 2, 3, 4, 5]) -- (Edges: [(4, 5), (2, 4), (1, 2)])"
7,6,0.0546875,0.007837057113647461,0.02243804931640625,"(Vertices: [0, 1, 2, 3, 4, 5, 6]) -- (Edges: [(2, 4), (0, 4), (3, 4), (1, 6), (2, 5), (1, 3)])"
8,11,0.046875,0.011347770690917969,0.036660194396972656,"(Vertices: [0, 1, 2, 3, 4, 5, 6, 7]) -- (Edges: [(0, 1), (0, 7), (2, 7), (1, 5), (3, 7), (5, 7), (0, 6), (5, 6), (3, 6), (1, 3), (4, 7)])"
9,11,0.021484375,0.01604294776916504,0.09261512756347656,"(Vertices: [0, 1, 2, 3, 4, 5, 6, 7, 8]) -- (Edges: [(0, 7), (0, 4), (8, 4), (8, 1), (1, 5), (3, 7), (4, 6), (0, 6), (2, 3), (8, 3), (0, 5)])"
10,18,0.013671875,0.0318603515625,0.15659713745117188,"(Vertices: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]) -- (Edges: [(0, 1), (2, 4), (0, 4), (3, 4), (8, 1), (0, 9), (5, 7), (8, 0), (2, 3), (9, 5), (0, 2), (1, 7), (2, 6), (8, 3), (1, 6), (0, 8), (1, 3), (4, 7)])"
11,16,0.00732421875,0.0554656982421875,0.34226226806640625,"(Vertices: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]) -- (Edges: [(0, 1), (10, 5), (1, 2), (3, 4), (2, 7), (3, 7), (9, 4), (9, 2), (8, 5), (8, 3), (5, 6), (3, 6), (1, 6), (1, 3), (4, 7), (8, 2)])"
12,18,0.003662109375,0.09685730934143066,0.58685302734375,"(Vertices: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]) -- (Edges: [(11, 7), (10, 5), (1, 2), (0, 10), (3, 7), (11, 3), (9, 2), (8, 0), (0, 6), (6, 7), (8, 9), (10, 6), (1, 10), (11, 5), (0, 8), (9, 7), (11, 4), (3, 11)])"
13,27,0.0023193359375,0.21068024635314941,1.288604736328125,"(Vertices: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]) -- (Edges: [(12, 7), (3, 7), (5, 7), (0, 2), (8, 9), (2, 5), (10, 12), (12, 6), (5, 6), (8, 11), (9, 4), (10, 2), (11, 7), (10, 11), (0, 4), (2, 10), (8, 4), (9, 3), (8, 7), (9, 12), (8, 10), (10, 7), (0, 12), (2, 3), (11, 12), (2, 6), (2, 12)])"
14,26,0.00115966796875,0.3548409938812256,2.4805679321289062,"(Vertices: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]) -- (Edges: [(12, 4), (4, 6), (4, 12), (0, 2), (8, 9), (2, 11), (1, 9), (10, 12), (1, 12), (9, 1), (9, 7), (8, 5), (9, 4), (0, 7), (1, 2), (0, 10), (2, 7), (11, 13), (12, 5), (3, 11), (11, 3), (0, 9), (1, 4), (0, 6), (2, 3), (2, 6)])"
15,43,0.000885009765625,0.9768445491790771,4.36322021484375,"(Vertices: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]) -- (Edges: [(12, 4), (3, 4), (3, 7), (14, 7), (4, 12), (5, 7), (3, 13), (0, 2), (9, 5), (11, 5), (9, 14), (10, 12), (1, 9), (0, 11), (2, 14), (13, 14), (6, 14), (14, 6), (12, 6), (8, 2), (9, 1), (10, 2), (9, 4), (9, 10), (0, 7), (11, 7), (0, 4), (0, 10), (9, 13), (2, 10), (12, 5), (3, 5), (5, 14), (10, 4), (9, 6), (0, 3), (8, 7), (10, 7), (8, 10), (9, 12), (0, 12), (2, 12), (1, 10)])"
5,1,0.0625,0.00133514404296875,0.01584911346435547,"(Vertices: [0, 1, 2, 3, 4]) -- (Edges: [(0, 3)])"
6,7,0.078125,0.001257181167602539,0.01334381103515625,"(Vertices: [0, 1, 2, 3, 4, 5]) -- (Edges: [(1, 2), (0, 3), (2, 3), (0, 5), (2, 5), (1, 3), (3, 5)])"
7,8,0.046875,0.003082275390625,0.02217864990234375,"(Vertices: [0, 1, 2, 3, 4, 5, 6]) -- (Edges: [(0, 4), (1, 5), (4, 5), (5, 6), (0, 5), (3, 6), (1, 6), (1, 3)])"
8,6,0.02734375,0.004344940185546875,0.038315773010253906,"(Vertices: [0, 1, 2, 3, 4, 5, 6, 7]) -- (Edges: [(3, 4), (2, 7), (0, 6), (4, 5), (1, 3), (4, 7)])"
9,9,0.017578125,0.009297370910644531,0.07881927490234375,"(Vertices: [0, 1, 2, 3, 4, 5, 6, 7, 8]) -- (Edges: [(0, 1), (8, 4), (3, 4), (8, 7), (3, 7), (0, 2), (4, 5), (8, 2), (4, 7)])"
10,10,0.0087890625,0.022377490997314453,0.13240623474121094,"(Vertices: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]) -- (Edges: [(0, 7), (9, 1), (0, 3), (0, 9), (2, 3), (3, 6), (1, 6), (2, 5), (1, 3), (1, 9)])"
11,16,0.0068359375,0.038251638412475586,0.331878662109375,"(Vertices: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]) -- (Edges: [(0, 1), (2, 4), (1, 2), (0, 4), (10, 5), (1, 5), (8, 1), (0, 9), (9, 5), (0, 2), (8, 3), (10, 6), (6, 7), (1, 10), (1, 3), (8, 5)])"
12,17,0.003662109375,0.08103752136230469,0.6161956787109375,"(Vertices: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]) -- (Edges: [(9, 10), (0, 7), (0, 4), (9, 3), (9, 2), (0, 6), (2, 3), (11, 6), (0, 2), (1, 7), (4, 5), (0, 5), (10, 3), (8, 6), (8, 5), (0, 11), (9, 4)])"
13,31,0.0025634765625,0.17958354949951172,1.24359130859375,"(Vertices: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]) -- (Edges: [(12, 4), (4, 12), (9, 2), (8, 0), (8, 3), (0, 5), (8, 6), (0, 8), (10, 12), (4, 5), (3, 6), (3, 12), (9, 7), (8, 5), (11, 4), (8, 11), (10, 2), (11, 7), (10, 11), (0, 10), (2, 7), (1, 5), (2, 10), (3, 11), (9, 3), (8, 1), (8, 7), (9, 6), (11, 3), (0, 9), (2, 12)])"
14,35,0.00152587890625,0.40813350677490234,2.593231201171875,"(Vertices: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]) -- (Edges: [(3, 4), (3, 7), (4, 6), (12, 13), (5, 7), (8, 0), (5, 13), (9, 5), (0, 2), (8, 9), (10, 6), (8, 12), (0, 8), (2, 5), (13, 5), (3, 12), (8, 2), (9, 4), (10, 5), (1, 2), (9, 13), (1, 11), (11, 13), (2, 13), (6, 7), (4, 7), (3, 11), (8, 7), (11, 3), (0, 9), (10, 7), (10, 13), (0, 6), (1, 7), (2, 6)])"
15,37,0.000823974609375,0.8500561714172363,4.3874359130859375,"(Vertices: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]) -- (Edges: [(4, 6), (9, 2), (5, 7), (8, 0), (3, 13), (8, 3), (8, 6), (1, 6), (0, 8), (0, 14), (9, 11), (1, 9), (0, 11), (1, 12), (6, 14), (14, 6), (3, 6), (4, 14), (9, 1), (0, 1), (11, 7), (10, 5), (10, 11), (0, 4), (0, 13), (3, 5), (8, 4), (4, 13), (8, 7), (10, 4), (9, 6), (8, 10), (10, 7), (0, 6), (8, 13), (1, 13), (1, 10)])"
5,3,0.125,0.0008025169372558594,0.01832103729248047,"(Vertices: [0, 1, 2, 3, 4]) -- (Edges: [(0, 1), (0, 2), (3, 4)])"
6,3,0.0625,0.001440286636352539,0.01332855224609375,"(Vertices: [0, 1, 2, 3, 4, 5]) -- (Edges: [(0, 1), (2, 4), (1, 2)])"
7,6,0.046875,0.002490520477294922,0.0215911865234375,"(Vertices: [0, 1, 2, 3, 4, 5, 6]) -- (Edges: [(1, 5), (4, 5), (2, 6), (5, 6), (1, 3), (3, 5)])"
8,7,0.03125,0.004436016082763672,0.031235694885253906,"(Vertices: [0, 1, 2, 3, 4, 5, 6, 7]) -- (Edges: [(3, 4), (3, 7), (0, 3), (0, 6), (2, 3), (6, 7), (2, 5)])"
9,11,0.021484375,0.0092010498046875,0.09082221984863281,"(Vertices: [0, 1, 2, 3, 4, 5, 6, 7, 8]) -- (Edges: [(0, 7), (1, 2), (8, 4), (3, 7), (4, 6), (1, 4), (6, 7), (0, 2), (5, 6), (8, 2), (1, 3)])"
10,20,0.0146484375,0.02391219139099121,0.15940475463867188,"(Vertices: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]) -- (Edges: [(3, 4), (9, 2), (0, 2), (8, 3), (8, 9), (1, 6), (2, 5), (1, 9), (5, 6), (9, 1), (8, 5), (9, 4), (0, 1), (6, 7), (4, 7), (8, 4), (9, 3), (8, 7), (1, 4), (1, 7)])"
11,18,0.00732421875,0.037810564041137695,0.33342742919921875,"(Vertices: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]) -- (Edges: [(9, 10), (0, 7), (8, 4), (3, 4), (2, 7), (10, 4), (0, 3), (4, 6), (8, 0), (2, 3), (4, 7), (8, 9), (3, 6), (9, 1), (0, 8), (2, 5), (1, 9), (9, 4)])"
12,22,0.00390625,0.07622766494750977,0.6188125610351562,"(Vertices: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]) -- (Edges: [(3, 4), (4, 6), (5, 7), (9, 5), (0, 2), (8, 9), (11, 5), (8, 6), (1, 6), (0, 11), (8, 5), (10, 2), (0, 4), (2, 7), (1, 5), (2, 10), (3, 11), (10, 4), (0, 3), (11, 3), (8, 10), (0, 6)])"
13,25,0.002685546875,0.1770169734954834,1.3428421020507812,"(Vertices: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]) -- (Edges: [(12, 7), (9, 2), (10, 6), (1, 6), (1, 3), (2, 11), (0, 11), (1, 12), (3, 6), (8, 5), (0, 1), (0, 7), (2, 7), (12, 5), (4, 7), (3, 5), (3, 11), (8, 1), (11, 3), (0, 9), (1, 4), (0, 12), (11, 12), (2, 6), (2, 12)])"
14,30,0.00140380859375,0.3915290832519531,2.4613418579101562,"(Vertices: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]) -- (Edges: [(12, 13), (5, 13), (11, 5), (10, 3), (1, 6), (2, 5), (1, 3), (13, 5), (0, 11), (1, 12), (12, 6), (3, 12), (8, 5), (0, 1), (9, 10), (10, 5), (1, 2), (0, 4), (13, 7), (11, 13), (6, 7), (4, 7), (3, 11), (0, 3), (11, 3), (10, 13), (8, 13), (1, 13), (2, 6), (2, 12)])"
15,33,0.000762939453125,0.7322688102722168,4.3128814697265625,"(Vertices: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]) -- (Edges: [(12, 7), (4, 6), (9, 2), (5, 13), (8, 3), (10, 3), (11, 14), (13, 5), (2, 14), (13, 14), (12, 6), (5, 6), (2, 4), (1, 2), (10, 11), (0, 10), (1, 5), (11, 13), (1, 14), (6, 7), (12, 14), (3, 11), (4, 13), (8, 1), (8, 7), (0, 3), (11, 3), (10, 7), (2, 3), (11, 12), (1, 7), (1, 13), (2, 12)])"
5,2,0.09375,0.0017766952514648438,0.01742839813232422,"(Vertices: [0, 1, 2, 3, 4]) -- (Edges: [(1, 2), (1, 4)])"
6,8,0.109375,0.002961397171020508,0.0144805908203125,"(Vertices: [0, 1, 2, 3, 4, 5]) -- (Edges: [(2, 4), (1, 2), (3, 4), (1, 4), (4, 5), (0, 5), (2, 5), (1, 3)])"
7,10,0.078125,0.0027189254760742188,0.02577972412109375,"(Vertices: [0, 1, 2, 3, 4, 5, 6]) -- (Edges: [(0, 1), (0, 4), (0, 3), (4, 6), (0, 2), (4, 5), (2, 6), (5, 6), (1, 6), (2, 5)])"
